origin_id,canonical_name,aliases,geo_type,parent_path,hierarchy_path,source_section,source_line,mapping_status,coordinate_status,coordinate_eligible,in_total_master,in_human_summary,in_existing_origin_master,conflict_flags,source_reference,notes
OMR-0F278F3A89,黑水梁子,,mountain,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨/黑水梁子,西双版纳｜易武 / 勐腊,78,需人工确认,HIERARCHY_ONLY,unassessed,yes,yes,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:78,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-50B91A4F13,龙家坡,,待人工判定,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨/龙家坡,西双版纳｜易武 / 勐腊,79,需人工确认,CANDIDATE,false,yes,no,yes,raw_status_hint,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:79,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。 原文标记：B-候选。
OMR-9BFE322C5B,猎虎山,,mountain,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨/猎虎山,西双版纳｜易武 / 勐腊,80,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,yes,raw_status_hint,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:80,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。 原文标记：近年地块名。
OMR-740F3C80B8,其他低置信地块名,,待人工判定,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨,云南省/西双版纳傣族自治州/勐腊县/易武镇/麻黑村委会/刮风寨/其他低置信地块名,西双版纳｜易武 / 勐腊,81,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,name_unresolved,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:81,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-A0A6413E05,曼腊村委会,,administrative_village,云南省/西双版纳傣族自治州/勐腊县/易武镇,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会,西双版纳｜易武 / 勐腊,83,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:83,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-D838C01B88,瑶族丁家寨 / 丁家下寨,,natural_village,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会/瑶族丁家寨 / 丁家下寨,西双版纳｜易武 / 勐腊,84,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,compound_or_alias_name,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:84,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-3DDCF2FDC1,弯弓,,microregion,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会/瑶族丁家寨 / 丁家下寨,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会/瑶族丁家寨 / 丁家下寨/弯弓,西双版纳｜易武 / 勐腊,85,可自动填充,HIERARCHY_ONLY,unassessed,yes,yes,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:85,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-7CFF0BB87A,白茶园,百茶园,microplot,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会/瑶族丁家寨 / 丁家下寨,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会/瑶族丁家寨 / 丁家下寨/白茶园,西双版纳｜易武 / 勐腊,86,可自动填充,HIERARCHY_ONLY,unassessed,yes,yes,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:86,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-A6EF5534C2,杨家寨,,natural_village,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会/杨家寨,西双版纳｜易武 / 勐腊,89,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:89,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-C2FBA96CBB,哆依树,,待人工判定,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会/杨家寨,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会/杨家寨/哆依树,西双版纳｜易武 / 勐腊,90,可自动填充,HIERARCHY_ONLY,unassessed,yes,yes,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:90,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-E939B6230A,帕扎河,,待人工判定,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会/帕扎河,西双版纳｜易武 / 勐腊,92,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:92,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-17F238EC96,薄荷塘,,microregion,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会/帕扎河,云南省/西双版纳傣族自治州/勐腊县/易武镇/曼腊村委会/帕扎河/薄荷塘,西双版纳｜易武 / 勐腊,93,可自动填充,HIERARCHY_ONLY,unassessed,yes,yes,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:93,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-D06A2BD02B,瑶区瑶族乡,,township,云南省/西双版纳傣族自治州/勐腊县,云南省/西双版纳傣族自治州/勐腊县/瑶区瑶族乡,西双版纳｜易武 / 勐腊,95,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:95,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-62B0F73BDD,中山上寨,,natural_village,云南省/西双版纳傣族自治州/勐腊县/瑶区瑶族乡,云南省/西双版纳傣族自治州/勐腊县/瑶区瑶族乡/中山上寨,西双版纳｜易武 / 勐腊,96,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:96,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-C59AA5A7A5,中山下寨,,natural_village,云南省/西双版纳傣族自治州/勐腊县/瑶区瑶族乡,云南省/西双版纳傣族自治州/勐腊县/瑶区瑶族乡/中山下寨,西双版纳｜易武 / 勐腊,97,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:97,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-1E3CE8B2A6,铜箐河 / 同庆河茶地体系,,待人工判定,云南省/西双版纳傣族自治州/勐腊县/瑶区瑶族乡,云南省/西双版纳傣族自治州/勐腊县/瑶区瑶族乡/铜箐河 / 同庆河茶地体系,西双版纳｜易武 / 勐腊,98,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,compound_or_alias_name,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:98,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-48887B451B,勐伴镇,,township,勐腊县,勐腊县/勐伴镇,西双版纳｜勐伴 / 金厂河,117,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:117,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-C404043273,金厂河村,,natural_village,勐腊县/勐伴镇,勐腊县/勐伴镇/金厂河村,西双版纳｜勐伴 / 金厂河,118,可自动填充,HIERARCHY_ONLY,unassessed,yes,no,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:118,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-9918E65CD0,桃子山,,mountain,勐腊县/勐伴镇/金厂河村,勐腊县/勐伴镇/金厂河村/桃子山,西双版纳｜勐伴 / 金厂河,119,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,yes,raw_status_hint,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:119,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。 原文标记：B+。
OMR-0801038C21,清水河？,,待人工判定,勐腊县/勐伴镇/金厂河村,勐腊县/勐伴镇/金厂河村/清水河？,西双版纳｜勐伴 / 金厂河,120,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,name_unresolved|raw_status_hint,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:120,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。 原文标记：C。
OMR-6F5126BD17,老庙寨？,,natural_village,勐腊县/勐伴镇/金厂河村,勐腊县/勐伴镇/金厂河村/老庙寨？,西双版纳｜勐伴 / 金厂河,121,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,name_unresolved|raw_status_hint,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:121,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。 原文标记：C。
OMR-31F7E1FFEA,西定哈尼族布朗族乡,,township,勐海县,勐海县/西定哈尼族布朗族乡,西双版纳｜勐海县标准样点 / 茶区,137,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:137,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-F2DB1EA8AA,章朗村,,natural_village,勐海县/西定哈尼族布朗族乡,勐海县/西定哈尼族布朗族乡/章朗村,西双版纳｜勐海县标准样点 / 茶区,138,可自动填充,HIERARCHY_ONLY,unassessed,yes,no,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:138,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-6BC0FBE4F7,巴达历史茶区 / 巴达山,,historical_region,勐海县/西定哈尼族布朗族乡,勐海县/西定哈尼族布朗族乡/巴达历史茶区 / 巴达山,西双版纳｜勐海县标准样点 / 茶区,139,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,compound_or_alias_name,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:139,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-E85C5718B8,贺松,,待人工判定,勐海县/西定哈尼族布朗族乡/巴达历史茶区 / 巴达山,勐海县/西定哈尼族布朗族乡/巴达历史茶区 / 巴达山/贺松,西双版纳｜勐海县标准样点 / 茶区,140,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:140,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-2C3E52879B,贺松大黑山,,mountain,勐海县/西定哈尼族布朗族乡/巴达历史茶区 / 巴达山,勐海县/西定哈尼族布朗族乡/巴达历史茶区 / 巴达山/贺松大黑山,西双版纳｜勐海县标准样点 / 茶区,141,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:141,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-353FDA51CC,勐往乡,,township,勐海县,勐海县/勐往乡,西双版纳｜勐海县标准样点 / 茶区,143,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:143,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-D9FAA75AE2,曼糯古茶园区域,,microplot,勐海县/勐往乡,勐海县/勐往乡/曼糯古茶园区域,西双版纳｜勐海县标准样点 / 茶区,144,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:144,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-9B26732E10,曼糯大寨,,natural_village,勐海县/勐往乡/曼糯古茶园区域,勐海县/勐往乡/曼糯古茶园区域/曼糯大寨,西双版纳｜勐海县标准样点 / 茶区,145,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:145,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-6CEEA02049,曼糯中寨,,natural_village,勐海县/勐往乡/曼糯古茶园区域,勐海县/勐往乡/曼糯古茶园区域/曼糯中寨,西双版纳｜勐海县标准样点 / 茶区,146,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:146,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-9B3FADBC68,曼糯上寨,,natural_village,勐海县/勐往乡/曼糯古茶园区域,勐海县/勐往乡/曼糯古茶园区域/曼糯上寨,西双版纳｜勐海县标准样点 / 茶区,147,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:147,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-1B4E9158EC,勐宋乡,,township,勐海县,勐海县/勐宋乡,西双版纳｜勐海县标准样点 / 茶区,149,可自动填充,HIERARCHY_ONLY,unassessed,yes,no,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:149,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-772BFFEEAC,蚌龙村,"邦龙, Banglong",natural_village,勐海县/勐宋乡,勐海县/勐宋乡/蚌龙村,西双版纳｜勐海县标准样点 / 茶区,150,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:150,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-14088F1B8C,格朗和哈尼族乡,,township,勐海县,勐海县/格朗和哈尼族乡,西双版纳｜勐海县标准样点 / 茶区,153,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:153,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-F60FEE8409,帕沙村,,natural_village,勐海县/格朗和哈尼族乡,勐海县/格朗和哈尼族乡/帕沙村,西双版纳｜勐海县标准样点 / 茶区,154,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:154,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-012BF40217,勐混镇,,township,勐海县,勐海县/勐混镇,西双版纳｜勐海县标准样点 / 茶区,156,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:156,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-306848510C,贺开村委会,,administrative_village,勐海县/勐混镇,勐海县/勐混镇/贺开村委会,西双版纳｜勐海县标准样点 / 茶区,157,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:157,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-02CBFC8D73,班盆村小组,,village_group,勐海县/勐混镇/贺开村委会,勐海县/勐混镇/贺开村委会/班盆村小组,西双版纳｜勐海县标准样点 / 茶区,158,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:158,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-F856BF4072,布朗山布朗族乡,,township,勐海县,勐海县/布朗山布朗族乡,西双版纳｜勐海县标准样点 / 茶区,160,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:160,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-D69D6F3C35,班章村委会,,administrative_village,勐海县/布朗山布朗族乡,勐海县/布朗山布朗族乡/班章村委会,西双版纳｜勐海县标准样点 / 茶区,161,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:161,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-A22D4E32F1,老班章,,待人工判定,勐海县/布朗山布朗族乡/班章村委会,勐海县/布朗山布朗族乡/班章村委会/老班章,西双版纳｜勐海县标准样点 / 茶区,162,可自动填充,HIERARCHY_ONLY,unassessed,yes,yes,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:162,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-01F58A31A2,新班章,,待人工判定,勐海县/布朗山布朗族乡/班章村委会,勐海县/布朗山布朗族乡/班章村委会/新班章,西双版纳｜勐海县标准样点 / 茶区,163,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:163,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-2A05F6AD57,老曼峨,,待人工判定,勐海县/布朗山布朗族乡/班章村委会,勐海县/布朗山布朗族乡/班章村委会/老曼峨,西双版纳｜勐海县标准样点 / 茶区,164,可自动填充,HIERARCHY_ONLY,unassessed,yes,yes,yes,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:164,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-1E0E75DFCC,坝卡囡,,待人工判定,勐海县/布朗山布朗族乡/班章村委会,勐海县/布朗山布朗族乡/班章村委会/坝卡囡,西双版纳｜勐海县标准样点 / 茶区,165,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:165,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-CE6DCCA95E,坝卡竜,,待人工判定,勐海县/布朗山布朗族乡/班章村委会,勐海县/布朗山布朗族乡/班章村委会/坝卡竜,西双版纳｜勐海县标准样点 / 茶区,166,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:166,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-399F87FE2D,新竜村委会,,administrative_village,勐海县/布朗山布朗族乡,勐海县/布朗山布朗族乡/新竜村委会,西双版纳｜勐海县标准样点 / 茶区,168,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:168,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-64E64F2DB1,曼新龙上寨,,natural_village,勐海县/布朗山布朗族乡/新竜村委会,勐海县/布朗山布朗族乡/新竜村委会/曼新龙上寨,西双版纳｜勐海县标准样点 / 茶区,169,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:169,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-1FAABCD23B,曼新龙下寨,,natural_village,勐海县/布朗山布朗族乡/新竜村委会,勐海县/布朗山布朗族乡/新竜村委会/曼新龙下寨,西双版纳｜勐海县标准样点 / 茶区,170,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:170,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-C7C2CB5E8C,章家村委会,,administrative_village,勐海县/布朗山布朗族乡,勐海县/布朗山布朗族乡/章家村委会,西双版纳｜勐海县标准样点 / 茶区,172,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:172,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-1A23E5F845,章家三队,,待人工判定,勐海县/布朗山布朗族乡/章家村委会,勐海县/布朗山布朗族乡/章家村委会/章家三队,西双版纳｜勐海县标准样点 / 茶区,173,需人工确认,HIERARCHY_ONLY,unassessed,yes,yes,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:173,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-94AF33459F,勐龙镇,,township,景洪市,景洪市/勐龙镇,景洪勐宋,196,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:196,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-8F283137BA,勐宋村,,natural_village,景洪市/勐龙镇,景洪市/勐龙镇/勐宋村,景洪勐宋,197,需人工确认,HIERARCHY_ONLY,unassessed,yes,no,no,,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:197,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
OMR-D1AAA249E4,阿克系村寨？,,natural_village,景洪市/勐龙镇/勐宋村,景洪市/勐龙镇/勐宋村/阿克系村寨？,景洪勐宋,198,需人工确认,HIERARCHY_ONLY,unassessed,no,no,no,name_unresolved,00_Inbox/生普产区微产区层级_origin_microregion_全量版_v5_2026-08-17.md:198,层级工作表节点；不等于购买批次原料已验证；不因本表存在而自动填充 origin_*。
